movie,actor,rank,studio,bday,male,release_date,production_budget,domestic_gross,worldwide_gross
Lucky Number Slevin,Lucy Liu,9,MGM/W,1968-12-02,0.0,2006-04-07,27000000.0,22495466.0,55495466.0
Lucky Number Slevin,Morgan Freeman,41,MGM/W,1937-06-01,1.0,2006-04-07,27000000.0,22495466.0,55495466.0
Lucky Numbers,John Travolta,37,Par.,1954-02-18,1.0,2000-10-27,65000000.0,10014234.0,10014234.0
Lucky Numbers,Lisa Kudrow,9,Par.,1963-07-30,0.0,2000-10-27,65000000.0,10014234.0,10014234.0
Lucky You,Drew Barrymore,29,WB,1975-02-22,0.0,2007-05-04,55000000.0,5755286.0,6521829.0
Lucky You,Eric Bana,12,WB,1968-08-09,1.0,2007-05-04,55000000.0,5755286.0,6521829.0
Lucky You,"Robert Downey, Jr.",-,WB,1965-04-04,1.0,2007-05-04,55000000.0,5755286.0,6521829.0
Lucky You,Robert Duvall,42,WB,1931-01-05,1.0,2007-05-04,55000000.0,5755286.0,6521829.0
Lucy,Analeigh Tipton,-,Uni.,1988-11-09,0.0,2014-07-25,40000000.0,126573960.0,450573960.0
Lucy,Morgan Freeman,14,Uni.,1937-06-01,1.0,2014-07-25,40000000.0,126573960.0,450573960.0
Lucy,Scarlett Johansson,6,Uni.,1984-11-22,0.0,2014-07-25,40000000.0,126573960.0,450573960.0
Luther,Alfred Molina,22,RS,1953-05-24,1.0,2003-09-26,35000000.0,5781086.0,32738814.0
MacGruber,Kristen Wiig,17,Uni.,1973-08-22,0.0,2010-05-21,10000000.0,8525600.0,8629895.0
MacGruber,Ryan Phillippe,13,Uni.,1974-09-10,1.0,2010-05-21,10000000.0,8525600.0,8629895.0
MacGruber,Val Kilmer,20,Uni.,1959-12-31,1.0,2010-05-21,10000000.0,8525600.0,8629895.0
MacGruber,Will Forte,6,Uni.,1970-06-17,1.0,2010-05-21,10000000.0,8525600.0,8629895.0
Machete,Jessica Alba,12,Fox,1981-04-28,0.0,2010-09-03,12500000.0,26593646.0,46370970.0
Machete,Lindsay Lohan,7,Fox,1986-07-02,0.0,2010-09-03,12500000.0,26593646.0,46370970.0
Machete,Michelle Rodriguez,12,Fox,1978-07-12,0.0,2010-09-03,12500000.0,26593646.0,46370970.0
Machete,Robert DeNiro,51,Fox,1943-08-17,1.0,2010-09-03,12500000.0,26593646.0,46370970.0
Machete Kills,Alexa Vega,6,ORF,1988-08-27,0.0,2013-10-11,20000000.0,8008161.0,18273009.0
Machete Kills,Amber Heard,9,ORF,1986-04-22,0.0,2013-10-11,20000000.0,8008161.0,18273009.0
Machete Kills,Antonio Banderas,33,ORF,1960-08-10,1.0,2013-10-11,20000000.0,8008161.0,18273009.0
Machete Kills,Charlie Sheen,23,ORF,1965-09-03,1.0,2013-10-11,20000000.0,8008161.0,18273009.0
Machete Kills,"Cuba Gooding, Jr.",23,ORF,1968-01-02,1.0,2013-10-11,20000000.0,8008161.0,18273009.0
Machete Kills,Jessica Alba,16,ORF,1981-04-28,0.0,2013-10-11,20000000.0,8008161.0,18273009.0
Machete Kills,Mel Gibson,31,ORF,1956-01-03,1.0,2013-10-11,20000000.0,8008161.0,18273009.0
Machete Kills,Michelle Rodriguez,13,ORF,1978-07-12,0.0,2013-10-11,20000000.0,8008161.0,18273009.0
Machete Kills,Vanessa Hudgens,6,ORF,1988-12-14,0.0,2013-10-11,20000000.0,8008161.0,18273009.0
Machine Gun Preacher,Gerard Butler,25,Rela.,1969-11-13,1.0,2011-09-23,30000000.0,538690.0,3721988.0
Machine Gun Preacher,Michelle Monaghan,14,Rela.,1976-03-23,0.0,2011-09-23,30000000.0,538690.0,3721988.0
Mad City,Alan Alda,17,WB,1936-01-28,1.0,1997-11-07,50000000.0,10556196.0,10556196.0
Mad City,Dustin Hoffman,34,WB,1937-08-08,1.0,1997-11-07,50000000.0,10556196.0,10556196.0
Mad City,John Travolta,36,WB,1954-02-18,1.0,1997-11-07,50000000.0,10556196.0,10556196.0
Mad Max,Mel Gibson,26,Film,1956-01-03,1.0,1980-03-21,200000.0,8750000.0,99750000.0
Mad Max Beyond Thunderdome,Mel Gibson,17,WB,1956-01-03,1.0,1985-07-10,10000000.0,36230219.0,36230219.0
Mad Max: Fury Road,Charlize Theron,3,WB,1975-08-07,0.0,2015-05-15,150000000.0,153636354.0,373136354.0
Mad Max: Fury Road,Nicholas Hoult,3,WB,1989-12-07,1.0,2015-05-15,150000000.0,153636354.0,373136354.0
