movie,actor,rank,studio,bday,male,release_date,production_budget,domestic_gross,worldwide_gross
Lara Croft: Tomb Raider,Daniel Craig,4,Par.,1968-03-02,1.0,2001-06-15,94000000.0,131144183.0,273330185.0
Lara Croft: Tomb Raider,Jon Voight,8,Par.,1938-12-29,1.0,2001-06-15,94000000.0,131144183.0,273330185.0
Larry Crowne,Bryan Cranston,9,Uni.,1956-03-07,1.0,2011-07-01,30000000.0,35608245.0,61449135.0
Larry Crowne,Cedric the Entertainer,13,Uni.,1964-04-24,1.0,2011-07-01,30000000.0,35608245.0,61449135.0
Larry Crowne,Julia Roberts,29,Uni.,1967-10-28,0.0,2011-07-01,30000000.0,35608245.0,61449135.0
Larry Crowne,Nia Vardalos,-,Uni.,1962-09-24,0.0,2011-07-01,30000000.0,35608245.0,61449135.0
Larry Crowne,Taraji P. Henson,12,Uni.,1970-09-11,0.0,2011-07-01,30000000.0,35608245.0,61449135.0
Larry Crowne,Tom Hanks,36,Uni.,1956-07-09,1.0,2011-07-01,30000000.0,35608245.0,61449135.0
Larry Crowne,Wilmer Valderrama,1,Uni.,1980-01-30,1.0,2011-07-01,30000000.0,35608245.0,61449135.0
Larry the Cable Guy: Health Inspector,Larry the Cable Guy,3,LGF,1963-02-17,1.0,2006-03-24,17000000.0,15680099.0,15680099.0
Lars and the Real Girl,Ryan Gosling,11,MGM,1980-11-12,1.0,2007-10-12,12500000.0,5956480.0,11277119.0
Last Action Hero,Arnold Schwarzenegger,13,Col.,1947-07-30,1.0,1993-06-18,85000000.0,50016394.0,137298489.0
Last Action Hero,Damon Wayans,-,Col.,1960-09-04,1.0,1993-06-18,85000000.0,50016394.0,137298489.0
